ID,AGE_GROUP,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TAXID,CREDITCARD,DOB,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,ZIP4,LONGITUDE,LATITUDE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD,NETREALIZEDLOSSES_YTD
1043,Adult,High,F,M,2,83259.3,N,51,197428911,8300194438048645,19481108,3556 W TREYBURN PATH,,GADSDEN,AL,35905,8844,,,0.0,0,0,0,0.0,0,0,0.0,0.0
1044,Child,Medium,M,M,1,20818.5,N,13,701267519,8989224516169765,19310201,797 W MOUNT CARMEL RD,,WINDSOR LOCKS,CT,6096,0,-72.629266,41.932196999999995,9130.91,47,2282,228,7.05,4,13,0.0,228.27275
1045,Adult,High,F,M,2,2185.6,N,53,178008102,1002661662305581,19680812,221 S WARREN ST STE 100,,MAGNOLIA,TX,77355,0,,,7120.71,20,1780,178,3.0,2,18,0.0,356.0355
1046,Adult,Low,M,M,1,76511.3,N,62,104063810,9093016628966797,19440220,14301 NEGUNDO AVE,,EL PASO,TX,79925,0,-106.34411000000001,31.79488,21682.17,17,10841,1084,4.25,5,10,1084.1085,0.0
1047,Young adult,High,F,M,1,6946.07,N,20,875759565,1805909736829772,19830927,1072 16TH AVE SW,,CARSON,WA,98610,0,,,43004.3,8,21502,2150,2.0,5,10,0.0,2150.215
1048,Adult,Medium,F,M,2,11234.7,Y,49,193609901,6219178449012117,19220202,14701 JASMINE AVE,,ONEONTA,NY,13820,1240,-75.065846,42.447392,690.07,112,172,17,16.8,1,15,0.0,17.25175
1049,Adult,High,F,M,2,36660.9,Y,40,241010362,5737001045949033,19970530,1 MONOMOYIC WAY,,WORCESTER,NY,12197,0,,,0.0,0,0,0,0.0,0,0,0.0,0.0
1050,Adult,High,F,M,2,68462.8,N,34,143079837,3081982988868768,19610824,842 N HUGHES ST,,RIVERTON,UT,84065,0,,,24392.44,60,12196,1219,15.0,2,7,0.0,1219.622
1051,Adult,Low,F,M,2,72841.3,N,47,139489175,5725098949431380,19180929,6694 5TH AVE N APT 1,,N TONAWANDA,NY,14120,0,,,10361.04,72,5180,518,18.0,2,10,518.052,0.0
1052,Adult,Low,M,M,1,63670.8,Y,46,173817482,5006991154567935,19630524,78 PINE ST,,FORKED RIVER,NJ,8731,0,,,27392.74,51,13696,1369,12.75,3,9,1369.637,0.0
1053,Adult,High,M,M,0,12387.6,N,56,178404195,3769291153099289,19900830,3061 W TANYA RD,,EL CAMPO,TX,77437,0,-96.282111,29.177636,3000.3,65,750,75,9.75,5,16,0.0,150.015
1054,Senior,High,F,M,1,82931.3,N,65,888516742,4212828396169950,19610307,430 W GROVE,,MATTESON,IL,60443,0,,,19241.92,118,9620,962,29.5,2,10,0.0,962.096
1055,Adult,Low,F,M,2,57483.9,N,44,118931565,1412373934208845,19270521,1250 OVINGTON AVE,,REGO PARK,NY,11374,0,,,17011.7,27,8505,850,6.75,1,10,850.585,0.0
1056,Adult,Low,F,S,2,21274.0,N,46,644030965,1750363796767167,19780915,3653 FAIRVIEW ST SW,,FORT MYERS BEACH,FL,33931,0,,,10871.09,32,5435,543,8.0,1,5,543.5545,0.0
1057,Adult,Low,F,M,2,28267.0,N,30,168756275,7338700543381098,19650810,2300 5TH AVE NE,,DALLAS,TX,75390,9110,,,21872.19,192,10936,1093,48.0,3,5,1093.6095,0.0
1058,Adult,Medium,F,M,2,36725.1,N,56,421724649,2970609717155426,19420501,1 VIRICK RD,,MISSION,TX,78574,0,,,8650.87,77,2162,216,11.55,1,13,0.0,216.27175
1059,Adult,High,M,S,1,94188.3,N,58,582582459,1346191348482039,19420312,RR 3 BOX 239,,UNION,WA,98592,0,,,20862.09,19,10431,1043,4.75,4,8,0.0,1043.1045
1060,Adult,Low,F,M,2,91861.0,Y,42,106524706,7136842664677737,19380928,933 CURTISS ST STE 1,,WEST NEWTON,MA,2465,0,,,15321.53,6,7660,766,1.5,3,9,766.0765,0.0
1061,Adult,Low,F,S,1,12374.9,Y,33,239301157,6456568145155483,19100605,1145 BOYNTON AVE APT 6A,,MATTAPAN,MA,2126,0,-71.07885999999999,42.271906,17491.75,106,8745,874,26.5,5,5,874.5875,0.0
1062,Young adult,Medium,F,M,2,69133.9,Y,27,949882077,1937107033550108,19320915,3715 W FAITH HL APT 1,,WEST POINT,GA,31833,0,-85.16364399999999,32.879447,8580.86,37,2145,214,5.55,1,12,0.0,214.5215
1063,Young adult,Low,F,M,2,84948.0,Y,29,165962765,8088684358240629,19110521,PO BOX 1440,,EATON RAPIDS,MI,48827,0,,,11141.11,12,5570,557,3.0,3,10,557.0555,0.0
1064,Adult,Medium,F,M,2,30998.8,N,41,209301212,4236769124411159,19150820,1130 BALTIMORE BLVD STE A,,EXCELSIOR,MN,55331,0,,,2400.24,50,600,60,7.5,5,15,0.0,60.006
1065,Adult,Medium,M,M,2,21416.5,N,36,157277454,2091675853331298,19481022,2 CALLE 2 LA ALDEA,,TAMPA,FL,33614,0,,,9900.99,8,2475,247,1.2,1,10,0.0,247.52475
1066,Child,Medium,M,S,0,78554.2,N,17,430149265,9657079063785480,19771108,4018 WESTAWAY DR,,TEKAMAH,NE,68061,0,-96.215087,41.776851,5590.56,23,1397,139,3.45,3,15,0.0,139.764
1067,Child,Low,M,S,1,3960.5,N,15,255677743,2298176532635666,19230310,70 W MEADOW RD APT 22,,AQUILLA,TX,76622,0,,,29782.98,66,14891,1489,16.5,4,9,1489.149,0.0
1068,Adult,Low,M,M,0,60101.1,Y,64,146054218,3892860141194967,19010714,6857 NW 179TH ST,,FORT WORTH,TX,76112,0,,,27702.77,124,13851,1385,31.0,2,5,1385.1385,0.0
1069,Adult,High,F,M,2,38215.9,N,31,191412001,2190084588682686,19840716,3484 E TERRACE AVE,,EAST CANAAN,CT,6024,0,,,0.0,0,0,0,0.0,0,0,0.0,0.0
1070,Young adult,High,F,M,1,13829.4,N,19,140630891,7608669981430678,19670409,4489 E PUEBLO AVE,,FLUSHING,NY,11354,0,-73.83107,40.765756,42004.2,160,21002,2100,40.0,5,9,0.0,2100.21
1071,Adult,High,F,M,2,49745.3,N,48,380138448,2907015543081007,19451117,200 N COMRIE AVE STE 3,,OCEAN ISLE BEACH,NC,28469,0,,,2840.28,24,710,71,3.6,4,16,0.0,142.014
1072,Child,Low,F,M,2,88427.0,N,14,785377083,1035081673165178,19770418,481 MANILA AVE,,MURPHYSBORO,IL,62966,0,-89.331588,37.765924,22462.25,43,11231,1123,10.75,3,8,1123.1125,0.0
1073,Young adult,Medium,F,M,2,98003.7,Y,26,151179096,2161896262097900,19340211,PO BOX 29560,,FARGO,ND,58103,0,-96.784024,46.872293,1030.1,83,257,25,12.45,5,15,0.0,25.7525
1074,Adult,High,M,S,0,89142.7,N,54,206943917,3451578055098579,19360925,811AI DALLAS ST STE 1407,,HANSON,MA,2341,0,-70.862022,42.0406,3760.38,5,940,94,0.75,1,19,0.0,188.019
1075,Adult,Low,F,S,0,74530.8,N,63,148664460,6742153586791021,19080522,25 WESTCHESTER SQ FRNT 1,,YAUCO,PR,698,0,,,20892.09,106,10446,1044,26.5,2,7,1044.6045,0.0
1076,Young adult,High,F,S,0,30000.0,N,23,114438833,5856940623515043,19911031,18469 CALLE 16,,GAINESVILLE,FL,32607,0,-82.408748,29.643582000000002,45004.5,262,22502,2250,65.5,3,6,0.0,2250.225
1077,Adult,Medium,F,M,2,76289.2,N,48,124758202,4748591177998664,19691222,PO BOX 85,,DORA,AL,35769,0,,,22202.22,82,11101,1110,20.5,4,6,0.0,1110.111
1078,Adult,Low,M,M,1,66931.9,N,64,214920520,3014455546664659,19230325,30254 JENSEN RD E,,EL RENO,OK,73036,0,,,11721.17,5,5860,586,1.25,2,10,586.0585,0.0
1079,Young adult,Medium,M,M,2,9309.57,Y,25,933003707,6726961102772602,19131204,270 PARKS CROSSING RD,,OSWEGO,NY,13126,6670,,,8560.86,99,2140,214,14.85,1,10,0.0,214.0215
1080,Young adult,Low,F,M,1,14085.5,N,24,148859238,8216216866719405,19980628,RR 2 BOX 261A,,INDIANAPOLIS,IN,46204,0,-86.149273,39.774640999999995,29002.9,26,14501,1450,6.5,4,7,1450.145,0.0
1081,Young adult,Low,F,S,0,32962.6,N,24,164571889,2572820059666563,19261116,164 CALLE LA PAZ,,AUSTIN,TX,78704,0,,,45004.5,154,22502,2250,38.5,3,9,2250.225,0.0
1082,Young adult,High,F,S,0,35000.0,N,23,180411812,7412039717716836,19320902,1187 W 345 S,,MOORESTOWN,NJ,8057,0,,,33003.3,61,16501,1650,15.25,4,10,0.0,1650.165
1083,Young adult,High,F,S,2,39000.0,N,22,166240986,5931251795042177,19501227,64 CALLE E,,NORWOOD YOUNG AMERICA,MN,55368,0,,,28002.8,35,14001,1400,8.75,1,10,0.0,1400.14
1084,Adult,Low,F,S,0,77726.4,N,57,128227720,1715092236887443,19590715,6437 22ND AVE S,,MORGANTON,NC,28655,0,-81.675063,35.753489,14001.4,9,7000,700,2.25,2,7,700.07,0.0
1085,Young adult,Low,F,S,2,42000.0,N,19,106892855,9638443225671701,19241214,537 GARDEN ST STE A,,STAFFORD,CT,6075,0,,,25772.58,38,12886,1288,9.5,4,8,1288.629,0.0
1086,Adult,Low,F,S,1,2800.68,N,46,167430302,1229286333268627,19090621,883 W 17TH ST,,VALLEY COTTAGE,NY,10989,0,,,28452.85,106,14226,1422,26.5,4,9,1422.6425,0.0
1087,Adult,High,F,M,2,90271.6,N,45,192630816,2360519271013843,19270507,1375 83RD ST N,,HUDSON,MA,1749,0,-71.586809,42.400279,13961.4,96,6980,698,24.0,2,5,0.0,698.07
1088,Adult,Low,F,M,2,64816.6,Y,31,609007666,7511745467362261,19210830,RR 17 BOX 129,,MELVIN,MI,48454,0,,,21002.1,6,10501,1050,1.5,3,8,1050.105,0.0
1089,Adult,Low,F,M,2,98217.1,N,45,209602767,6270059392459443,19931020,9851 64TH AVE APT 5A,,PHILLIPS RANCH,CA,91766,0,,,29492.95,13,14746,1474,3.25,4,7,1474.6475,0.0
1090,Adult,Low,F,S,1,2929.13,N,54,361406977,5906035797631740,19690716,12 E RIVER ST,,MAYAGUEZ,PR,680,2028,,,14001.4,88,7000,700,22.0,3,5,700.07,0.0
1091,Adult,High,F,M,2,41876.6,Y,44,167425473,5905213805024935,19600528,831 S VAN BUREN ST,,CLEARLAKE OKS,CA,95423,0,,,6780.68,132,1695,169,19.8,1,17,0.0,339.034
1092,Senior,Low,M,M,0,96223.4,Y,65,187845180,7764190643929869,19930501,PO BOX 172351,,BRONX,NY,10459,2593,-73.90071800000001,40.822368,11811.18,5,5905,590,1.25,2,6,590.559,0.0
1093,Adult,Medium,F,S,0,15989.3,N,62,131128905,1110280004502385,19330507,494 FIERY HILL RD,,BABYLON,NY,11702,0,,,3670.37,25,917,91,3.75,5,16,0.0,183.5185
1094,Adult,High,M,M,0,69168.4,Y,62,184021749,5044336445553342,19021122,8209 25TH AVE N,,ROMA,TX,78584,0,-99.00476,26.404839000000003,14161.42,214,7080,708,53.5,4,5,0.0,708.071
1095,Adult,Medium,M,M,1,92148.5,Y,30,133373660,8806498822668088,19400124,1 CALLE 2 DE GRAN VISTA,,NAZARETH,PA,18064,0,-75.318602,40.74199,7000.7,100,1750,175,15.0,2,15,0.0,175.0175
1096,Young adult,High,M,M,0,96681.0,Y,20,736579952,7432506022229145,19240226,PO BOX 11208,,LEECHBURG,PA,15656,0,,,8000.8,40,2000,200,6.0,5,18,0.0,400.04
1097,Adult,High,M,S,0,62705.9,Y,38,122883114,3995734009513667,19220929,2 WOODS AVE,,LOVELAND,CO,80537,0,,,9000.9,6,2250,225,0.9,5,15,0.0,450.045
1098,Young adult,Medium,M,S,0,80221.2,N,29,389051403,7026943431339654,19050402,711 ELM ST,,SCHENECTADY,NY,12303,0,,,7000.7,49,1750,175,7.35,3,15,0.0,175.0175
1099,Adult,High,M,S,0,84479.2,N,39,496384915,7702701527295718,19250910,4298 FRANK CEM RD,,DALLAS,TX,75229,0,,,2000.2,43,500,50,6.45,1,17,0.0,100.01
1100,Adult,Low,F,M,2,64977.4,N,38,203700312,8824950153573417,19380521,79 GASPER RD,,ADA,OK,74820,0,-96.681753,34.78692,28112.81,17,14056,1405,4.25,5,9,1405.6405,0.0
1101,Adult,Low,F,M,0,77994.0,N,51,179536031,8842425853985411,19610817,201 E FLONTAT DR,,LOCKPORT,NY,14094,0,-78.694549,43.171331,12401.24,89,6200,620,22.25,4,5,620.062,0.0
1102,Adult,Low,M,M,2,90103.7,N,35,429776939,3314033682951256,19020903,9458 FAIRFAX BLVD,,TULARE,CA,93274,0,-119.349286,36.206883000000005,12231.22,45,6115,611,11.25,5,8,611.561,0.0
1103,Adult,Low,F,M,0,59008.4,Y,30,674896563,3095232452126106,19150908,2481 STATE ROUTE 69 PMB 978,,JACKSONVILLE,OR,97530,0,,,12861.29,18,6430,643,4.5,3,10,643.0645,0.0
1104,Adult,Medium,M,S,1,5265.35,N,53,115966763,2253053931283821,19261103,1398 N MAIN ST,,CANASTOTA,NY,13032,0,,,2330.23,23,582,58,3.45,1,12,0.0,58.25575
1105,Young adult,Medium,M,S,1,84978.1,N,22,636720856,3342358601212291,19390529,5071 MARLAND AVE SW,,ASBURY PARK,NJ,7712,0,-74.01552,40.224028999999994,5030.5,76,1257,125,11.4,3,15,0.0,125.7625
1106,Adult,Low,F,M,2,36647.9,N,50,140575185,3930760756568914,19660127,7017 E STATE HIGHWAY 154,,WINNETKA,CA,91306,0,,,21412.14,85,10706,1070,21.25,3,9,1070.607,0.0
1107,Adult,High,F,S,0,64319.2,N,41,156572321,1475322078500278,19180903,33 MILL ST # 9231 # 1554,,HOBOKEN,NJ,7030,2031,-74.040971,40.741928,3010.3,37,752,75,5.55,3,19,0.0,150.515
1108,Adult,High,F,S,1,73338.0,N,48,188430287,1454633319846242,19400626,466 ELLIOTT ST SE,,ASTORIA,NY,11106,0,-73.93656700000001,40.760399,20922.09,9,10461,1046,2.25,4,9,0.0,1046.1045
1109,Adult,Medium,F,S,0,433.74,N,61,228978039,4026853517383760,19310421,1258 JONES RD,,LOUISVILLE,KY,40291,3936,,,3300.33,40,825,82,6.0,4,13,0.0,82.50825
1110,Adult,Low,F,M,2,16962.2,N,45,108957602,1199471155570358,19630912,99 STATE ROUTE 186,,SAN FERNANDO,CA,91340,0,,,18601.86,8,9300,930,2.0,1,7,930.093,0.0
1111,Young adult,High,M,M,2,10708.3,N,26,122541161,1312779003962782,19280129,3905 HYRIDGE DR,,HUNTSVILLE,AL,35810,0,,,20832.08,117,10416,1041,29.25,4,9,0.0,1041.604
1112,Young adult,Low,F,M,0,2031.61,N,20,187469693,5765927148676948,19890411,22272 HIGHWAY 52 # 11158,,FLORA,IN,46929,0,,,21642.16,87,10821,1082,21.75,3,10,1082.108,0.0
1113,Adult,Low,F,S,2,16938.5,N,46,126998784,5029778846183417,19270621,PO BOX 1893,,BRONX,NY,10469,0,,,13351.34,8,6675,667,2.0,2,6,667.567,0.0
1114,Adult,High,F,M,0,55221.0,N,61,740337829,6012126776882551,19100302,172 BLEECKER ST APT 2,,NORTH PLAINFIELD,NJ,7060,0,-74.417,40.625305,490.05,15,122,12,2.25,1,20,0.0,24.5025
1115,Adult,High,F,M,1,8073.11,N,55,100949048,3088162176681632,19371201,THREE RIVERS LOCAL SCH,,KINGSTON,PA,18704,0,-75.88166899999999,41.256678,28702.87,60,14351,1435,15.0,3,5,0.0,1435.1435
1116,Adult,High,M,M,0,95448.6,Y,54,191432747,2952282149632472,19520604,4400 PARKCOURT LN,,PLANO,TX,75023,0,-96.73096600000001,33.062712,24242.42,5,12121,1212,1.25,3,7,0.0,1212.121
1117,Child,High,M,S,1,24141.5,Y,17,267157202,6444569343588461,19610819,1 ABBEY RD,,DUNDEE,FL,33838,0,,,28822.88,97,14411,1441,24.25,4,7,0.0,1441.144
1118,Adult,Medium,M,S,2,63152.6,Y,63,788315003,2562321735896805,19960511,12456 BAYPOINTE TER,,ORELAND,PA,19075,0,,,29932.99,40,14966,1496,10.0,1,10,0.0,1496.6495
1119,Adult,High,M,S,1,31952.0,N,34,800440413,7868722946042472,19630311,447 S 186TH ST,,MURPHYSBORO,IL,62966,0,-89.331588,37.765924,0.0,0,0,0,0.0,0,0,0.0,0.0
1120,Adult,Low,M,S,2,72084.7,N,56,215701225,4583495730330181,19550610,930 N WILLIS ST,,LOUISVILLE,KY,40210,0,-85.77462299999999,38.226444,29112.91,9,14556,1455,2.25,3,5,1455.6455,0.0
1121,Adult,Low,F,S,0,42760.5,N,52,114972198,3751093363536380,19550102,170 ORANGE ST STE 325,,JEROME,ID,83338,2801,-114.50883600000002,42.725097999999996,13471.35,40,6735,673,10.0,4,6,673.5675,0.0
1122,Adult,Low,F,S,1,49072.0,N,42,327211497,2011909884077405,19650805,2401 TEE CIR,,WEST NEW YORK,NJ,7093,0,-74.000893,40.791777,23502.35,10,11751,1175,2.5,1,9,1175.1175,0.0
1123,Adult,Low,F,M,0,27371.8,Y,43,403546405,6860689693245940,19901008,6804 E SALISBURY RD,,ELKINS,AR,72727,0,,,16141.61,126,8070,807,31.5,3,9,807.0805,0.0
1124,Adult,High,M,M,1,71472.9,N,42,313527387,7812017527186805,19300509,85 CALLE A VILLA ESPERANZA,,FORT WORTH,TX,76126,0,,,16021.6,114,8010,801,28.5,1,6,0.0,801.08
1125,Adult,High,F,M,0,95405.7,N,55,199453475,7421409303209731,19680628,117 N GARFIELD AVE APT 1,,DORCHESTER,MA,2122,0,-71.0545,42.2981,7740.77,6,1935,193,0.9,2,17,0.0,387.0385
1126,Adult,High,F,S,0,95786.8,Y,52,536920065,5274151472677030,19721031,7 TOWER HTS,,STAFFORD,TX,77477,0,,,21332.13,87,10666,1066,21.75,3,5,0.0,1066.6065
1127,Adult,Medium,M,S,0,90321.6,N,55,105010733,8420093830144343,19430811,6309 FERN VALLEY PASS STE 206,,AUSTIN,TX,78745,0,-97.779728,30.200947999999997,870.09,11,217,21,1.65,5,12,0.0,21.75225
1128,Adult,Low,M,D,1,90478.6,N,55,142828461,7363432941317753,19800502,23501 W DITNER DR,,SAINT PAUL,MN,55155,1470,,,18021.8,136,9010,901,34.0,4,8,901.09,0.0
1129,Adult,Medium,F,M,2,56187.0,N,46,925971469,5386205129808513,19670310,308 GARDEN ST APT 2S,,BRIDGETON,NJ,8302,0,-75.228764,39.440397999999995,8090.81,13,2022,202,1.95,4,12,0.0,202.27025
1130,Young adult,High,F,S,1,35089.0,N,24,109974583,7735608978244829,19110420,188 BDA FELIX CORDOVA DAVILA URB RIVERAS DEL BUCAN,,KINGSTON,PA,18704,0,-75.88166899999999,41.256678,23562.36,206,11781,1178,51.5,3,9,0.0,1178.118
1131,Young adult,Medium,M,M,0,9780.66,N,25,323479415,5425205423869143,19180922,12489 28TH S,,UTUADO,PR,641,0,,,2800.28,11,700,70,1.65,3,11,0.0,70.007
1132,Young adult,Low,M,M,2,53010.8,N,19,573848138,1958211265595121,19591201,699 THORNTON AVE,,ALLEN,TX,75013,0,,,12451.25,46,6225,622,11.5,4,7,622.5625,0.0
1133,Senior,High,M,M,1,75004.5,N,65,152952277,7730834919311288,19030129,11865 N ROUTE E,,ALBANY,NY,12205,0,,,26522.65,32,13261,1326,8.0,3,9,0.0,1326.1325
1134,Adult,Low,M,M,0,19749.3,N,60,707244505,7303519646982652,19760530,35110 S SOCIA RD,,CAROLINA,PR,979,0,,,20222.02,13,10111,1011,3.25,5,7,1011.101,0.0
1135,Adult,Medium,M,S,1,57626.9,Y,44,173351576,1125366361127451,19861003,PO BOX 1643,,MANATI,PR,674,0,,,9380.94,38,2345,234,5.7,5,11,0.0,234.5235
1136,Adult,High,M,M,2,20078.0,N,33,187599785,8363895343193939,19730801,6626 KIEKE RD,,COPPERHILL,TN,37317,0,,,9650.97,6,2412,241,0.9,1,17,0.0,482.5485
1137,Young adult,Low,F,M,2,47902.0,N,26,721302023,2927607510615344,19730801,150 E GAY ST FL 23,,WHITFIELD,MS,39193,0,,,17441.74,49,8720,872,12.25,5,10,872.087,0.0
1138,Child,Low,M,M,1,7545.96,Y,17,189008809,9090045437390816,19360712,2325 WILLIAMSBRIDGE RD APT 6A,,PORT ANGELES,WA,98362,0,-123.42971499999999,48.103178,22392.24,178,11196,1119,44.5,1,8,1119.612,0.0
1139,Adult,Low,M,S,2,89459.9,N,53,190306285,4618976392192733,19140127,180 ATTUCKS LN,,HOUSTON,TX,77012,4037,,,11541.15,22,5770,577,5.5,5,7,577.0575,0.0
1140,Adult,High,F,S,1,13576.5,N,39,950280062,2229096338633950,19351226,2 RILEY RD,,GAP,PA,17527,0,,,14831.48,25,7415,741,6.25,1,5,0.0,741.574
1141,Adult,High,F,M,2,42031.8,N,51,832180470,7466807582215169,19000325,15 CALLE BETANCES,,DORADO,PR,646,2196,,,20452.05,39,10226,1022,9.75,5,7,0.0,1022.6025
1142,Young adult,Low,M,S,2,43634.5,N,22,980990819,7416037254649978,19730401,7865 HORSESHOE TRL SE,,CLOVER,SC,29710,0,,,29442.94,104,14721,1472,26.0,5,9,1472.147,0.0
1143,Adult,High,F,S,1,13109.1,N,63,677493346,9658236110289147,19250407,594 6TH AVE W,,LITTLE RIVER,KS,67457,0,,,22382.24,40,11191,1119,10.0,5,8,0.0,1119.112
1144,Adult,High,M,S,1,92647.5,N,56,210216831,1666657975975462,19690912,10903 77TH ST NW,,ALBANY,NY,12204,0,-73.742708,42.672667,16041.6,10,8020,802,2.5,1,10,0.0,802.08
1145,Adult,High,M,S,2,21021.6,Y,63,172132864,4849138036037099,19830601,PO BOX 5727,,TARRYTOWN,NY,10591,0,-73.862437,41.081767,3000.3,11,750,75,1.65,4,15,0.0,150.015
1146,Adult,High,M,S,0,74460.7,Y,55,168698383,4733782760546774,19520413,535 JACKSON AVE APT 18A,,PONCE,PR,717,710,,,25532.55,179,12766,1276,44.75,3,7,0.0,1276.6275
1147,Adult,Low,F,S,2,28787.4,N,42,146117410,1643414004093074,19530322,5628 FM 2088,,CAYEY,PR,736,0,,,27972.8,58,13986,1398,14.5,4,6,1398.64,0.0
1148,Adult,Medium,M,M,1,13091.6,N,59,198848585,8014524234113484,19870119,PO BOX 3732,,AUSTIN,TX,78758,0,,,22792.28,20,11396,1139,5.0,4,6,0.0,1139.614
1149,Adult,Low,F,M,2,62061.8,Y,46,327815186,1989154988631564,19480824,7904 149TH ST,,LOCKHART,TX,78644,0,-97.6914,29.8699,29862.99,52,14931,1493,13.0,2,9,1493.1495,0.0
1150,Young adult,High,F,M,1,20550.9,Y,22,946557823,6527062719343539,19160601,14 6TH ST APT 1,,LEBANON JUNCTION,KY,40150,0,,,27722.77,57,13861,1386,14.25,1,7,0.0,1386.1385
1151,Young adult,High,M,M,2,1765.41,N,19,567034285,4633169029549739,19310805,7628 WH BURGES DR,,LAMAR,CO,81052,0,-102.615545,38.079840999999995,3040.3,44,760,76,6.6,1,15,0.0,152.015
1152,Adult,High,F,S,2,19131.1,N,56,147753716,5965321620098467,19450826,PSC 3 BOX 1326,,NEW YORK,NY,10003,0,,,22152.22,34,11076,1107,8.5,5,7,0.0,1107.611
1153,Young adult,High,M,M,0,47870.8,Y,27,127376932,6820019213951789,19130210,40 CALLE 1 SAN MIGUEL,,PEORIA,IL,61615,6721,-89.634585,40.732813,0.0,0,0,0,0.0,0,0,0.0,0.0
1154,Adult,High,F,S,2,6440.46,Y,48,460249834,8125701709319076,19640513,37A BAIRD AVE,,SEATTLE,WA,98103,0,-122.35013899999998,47.690690999999994,22662.27,27,11331,1133,6.75,2,8,0.0,1133.1135
1155,Adult,Medium,M,M,2,28766.9,N,47,179106455,4287313917945029,19070208,798 S UNIVERSITY DR,,KEAAU,HI,96749,0,,,6110.61,58,1527,152,8.7,4,14,0.0,152.76525
264,Adult,Low,M,M,1,95448.6,Y,54,698096012,6043111298924664,19920411,2417AH REGENCY BLVD STE 6,,BUNKIE,LA,71322,0,-92.192883,30.949491,24242.42,5,12121,1212,1.25,5,9,1212.121,0.0
265,Child,High,M,S,1,24141.5,Y,17,130322029,1317177255298791,19340604,56 W HILL RD,,PLAINFIELD,NJ,7060,2563,-74.417,40.625305,28822.88,97,14411,1441,24.25,3,8,0.0,1441.144
266,Adult,High,M,S,2,63152.6,Y,63,909108370,4126288093632677,19060503,606 STATE RT 17,,SEATTLE,WA,98112,0,,,29932.99,40,14966,1496,10.0,1,6,0.0,1496.6495
267,Adult,Low,M,S,2,72084.7,N,56,105667973,2911018208525624,19750511,536 DWIGHT ST STE 7,,SWAMPSCOTT,MA,1907,0,,,29112.91,9,14556,1455,2.25,4,8,1455.6455,0.0
268,Adult,Low,F,S,0,42760.5,N,46,673993288,7431943325800400,19750728,12364 SWAMP FOX HWY W,,DURANGO,CO,81301,0,,,13471.35,40,6735,673,10.0,3,5,673.5675,0.0
269,Adult,High,F,S,1,49072.0,N,47,101605891,1401350532167942,19531217,32-942 MAMALAHOA HWY,,FARGO,ND,58102,0,-96.795249,46.878554,23502.35,10,11751,1175,2.5,2,5,0.0,1175.1175
270,Adult,High,F,M,0,27371.8,Y,48,105129336,9075431497770664,19980626,198 N UNIVERSITY DR,,PHOENIX,AZ,85085,0,,,16141.61,126,8070,807,31.5,1,8,0.0,807.0805
271,Adult,High,M,M,1,71472.9,N,42,124442202,4216970417070465,19720131,2307 OLD HIGHWAY RD,,SCHOFIELD,WI,54476,0,,,16021.6,114,8010,801,28.5,1,8,0.0,801.08
272,Adult,High,F,M,0,95405.7,N,42,101197731,2363230751649929,19020316,580 SHADY LN,,MONTCLAIR,NJ,7042,0,,,7740.77,6,1935,193,0.9,2,15,0.0,387.0385
273,Adult,Low,F,S,0,95786.8,Y,43,133836895,6951515774741214,19880922,2458 STRAIGHT ST APT 5,,FAIRFIELD,IL,62837,0,-88.360047,38.381199,21332.13,87,10666,1066,21.75,2,10,1066.6065,0.0
274,Adult,High,M,S,0,90321.6,N,30,793964461,3283408953641901,19951103,200 S BROADWAY ST STE 101,,CEDAR RAPIDS,IA,52402,0,,,870.09,11,217,21,1.65,4,17,0.0,43.5045
275,Adult,High,M,S,0,90478.6,N,55,150420152,3642772201098431,19480229,PO BOX 612,,ALPHARETTA,GA,30004,8685,,,18021.8,136,9010,901,34.0,2,10,0.0,901.09
276,Adult,Medium,F,M,2,56187.0,N,42,122560030,5135205076205937,19090211,202 COURTHOUSE,,JOPLIN,MO,64804,0,-94.513459,37.048783,8090.81,13,2022,202,1.95,2,12,0.0,202.27025
277,Young adult,Medium,F,S,1,37000.0,N,24,117734792,5939293378759346,19510711,349 N 145TH ST,,SAN ANTONIO,TX,78247,0,,,23562.36,206,11781,1178,51.5,5,7,0.0,1178.118
278,Adult,Low,M,M,2,29616.0,N,49,182153108,7911656444867866,19650307,17539 ROUTE 111 PMB 17039,,OCEAN ISLE BEACH,NC,28469,0,,,29782.98,45,14891,1489,11.25,1,10,1489.149,0.0
279,Adult,High,M,M,0,19732.8,N,51,198397679,3350514438366645,19120207,1208 W EVERGREEN ST,,FAIRLAWN,OH,44334,0,,,24812.48,22,12406,1240,5.5,5,8,0.0,1240.624
280,Adult,High,M,S,2,96.33,N,56,206969433,6040815359098288,19360222,47 RIDEOAT RD,,SAN CLEMENTE,CA,92673,0,,,26132.61,32,13066,1306,8.0,4,8,0.0,1306.6305
